StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Coder_ID,Post_ID,Attribution_Presence,Attribution_Number,Sender_Relevance_1,Evaluation_1,PresenceIndividual_1,SpecificIndividual_1,PresenceCollective_1,SpecificCollective_1,PresenceSystems_1,PresenceNetwork_1,Economy_1,SocialPolicies_1,PoliticsHumanRight_1,ExternalRelations_1
2025-05-10 11:55:43,2025-05-10 11:56:13,IP Address,217.105.28.27,100,29,True,2025-05-10 11:56:13,R_822DScdILgacnS5,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,40L,No,,,,,,,,,,,,,
2025-05-10 11:56:02,2025-05-10 11:56:18,IP Address,80.114.165.142,100,16,True,2025-05-10 11:56:18,R_2lcXlnvDsTey2jW,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,266M,No,,,,,,,,,,,,,
2025-05-10 11:56:27,2025-05-10 11:56:33,IP Address,80.114.165.142,100,5,True,2025-05-10 11:56:33,R_8qX9MzPgjb4V28W,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,260M,No,,,,,,,,,,,,,
2025-05-10 11:56:16,2025-05-10 11:56:49,IP Address,217.105.28.27,100,32,True,2025-05-10 11:56:49,R_8E3WHlYzu8dBDHq,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,41L,No,,,,,,,,,,,,,
2025-05-10 11:56:47,2025-05-10 11:56:53,IP Address,80.114.165.142,100,5,True,2025-05-10 11:56:53,R_8Km3g3wd1L2IDJ1,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,261M,No,,,,,,,,,,,,,
2025-05-10 11:57:01,2025-05-10 11:57:10,IP Address,217.105.28.27,100,9,True,2025-05-10 11:57:10,R_2YuiWHD6ciaiZ1x,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,42L,No,,,,,,,,,,,,,
2025-05-10 11:57:11,2025-05-10 11:57:33,IP Address,217.105.28.27,100,22,True,2025-05-10 11:57:34,R_8qvS59ZBnBo9GVv,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,43L,No,,,,,,,,,,,,,
2025-05-10 11:57:35,2025-05-10 11:57:57,IP Address,217.105.28.27,100,22,True,2025-05-10 11:57:58,R_8JqmtH1vnZYn2n2,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,44L,No,,,,,,,,,,,,,
2025-05-10 11:58:15,2025-05-10 11:58:22,IP Address,80.114.165.142,100,6,True,2025-05-10 11:58:22,R_22tHE2F9yH07YIY,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,254M,No,,,,,,,,,,,,,
2025-05-10 11:59:11,2025-05-10 11:59:17,IP Address,80.114.165.142,100,5,True,2025-05-10 11:59:17,R_8W8sngLWOn4ody1,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,243M,No,,,,,,,,,,,,,
2025-05-10 11:57:59,2025-05-10 11:59:40,IP Address,217.105.28.27,100,101,True,2025-05-10 11:59:41,R_8vXE6cdBaeb6Ltf,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,45L,Yes,First,Yes,Positively,No,,Yes,The Trump-Administration,,,No,No,Yes,
2025-05-10 11:59:30,2025-05-10 11:59:55,IP Address,80.114.165.142,100,24,True,2025-05-10 11:59:55,R_8s02rmVb4ESKuZi,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,242M,Yes,First,Yes,Positively,No,,Yes,The Trump-Administration,,,Yes,,,
2025-05-10 11:59:43,2025-05-10 12:00:00,IP Address,217.105.28.27,100,16,True,2025-05-10 12:00:00,R_8PSHZNS7ImIbDiI,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,46L,No,,,,,,,,,,,,,
2025-05-10 12:00:03,2025-05-10 12:00:10,IP Address,80.114.165.142,100,7,True,2025-05-10 12:00:11,R_8JC9Pegm0fZKaJO,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,239M,No,,,,,,,,,,,,,
2025-05-10 12:00:22,2025-05-10 12:00:32,IP Address,80.114.165.142,100,10,True,2025-05-10 12:00:33,R_8nZXB8HDGc1qizt,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,238M,No,,,,,,,,,,,,,
2025-05-10 12:01:00,2025-05-10 12:01:08,IP Address,80.114.165.142,100,8,True,2025-05-10 12:01:08,R_8sbUGf9A8MOWXS4,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,230M,No,,,,,,,,,,,,,
2025-05-10 12:00:02,2025-05-10 12:01:22,IP Address,217.105.28.27,100,80,True,2025-05-10 12:01:23,R_8LwICPnVyCl8hEF,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,47L,No,,,,,,,,,,,,,
2025-05-10 12:01:24,2025-05-10 12:01:47,IP Address,217.105.28.27,100,22,True,2025-05-10 12:01:47,R_8MDNKzbAk4jclsy,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,48L,No,,,,,,,,,,,,,
2025-05-10 12:02:15,2025-05-10 12:02:21,IP Address,80.114.165.142,100,5,True,2025-05-10 12:02:21,R_2nPOeI9wsl7Tzlv,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,195M,No,,,,,,,,,,,,,
2025-05-10 12:02:35,2025-05-10 12:02:41,IP Address,80.114.165.142,100,5,True,2025-05-10 12:02:41,R_8MFeNtuZjLOF22t,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,190M,No,,,,,,,,,,,,,
2025-05-10 12:01:48,2025-05-10 12:03:27,IP Address,217.105.28.27,100,99,True,2025-05-10 12:03:28,R_8R4Hgo7KFfOAAuo,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,49L,Yes,First,Yes,Positively,No,,Yes,The Trump-Administration,,,No,No,Yes,
2025-05-10 12:03:29,2025-05-10 12:04:01,IP Address,217.105.28.27,100,31,True,2025-05-10 12:04:01,R_2Mg1wTbtMNW3Qtz,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,50L,No,,,,,,,,,,,,,
2025-05-10 12:04:02,2025-05-10 12:04:28,IP Address,217.105.28.27,100,25,True,2025-05-10 12:04:28,R_2cF2SS9VMhdfS01,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,51L,No,,,,,,,,,,,,,
2025-05-10 12:04:30,2025-05-10 12:04:55,IP Address,217.105.28.27,100,25,True,2025-05-10 12:04:55,R_8wSLgvzJPb4Eu9x,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,52L,No,,,,,,,,,,,,,
2025-05-10 12:05:06,2025-05-10 12:05:19,IP Address,217.105.28.27,100,13,True,2025-05-10 12:05:19,R_2uOnzJdbmsVOKt6,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,53L,No,,,,,,,,,,,,,
2025-05-10 12:05:20,2025-05-10 12:05:56,IP Address,217.105.28.27,100,35,True,2025-05-10 12:05:56,R_8OSRpgMtl32zrIl,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,54L,No,,,,,,,,,,,,,
2025-05-10 12:05:57,2025-05-10 12:06:26,IP Address,217.105.28.27,100,28,True,2025-05-10 12:06:26,R_2kcXNPKGxzPX3zi,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,55L,No,,,,,,,,,,,,,
2025-05-10 12:06:29,2025-05-10 12:06:55,IP Address,217.105.28.27,100,25,True,2025-05-10 12:06:55,R_8WPeHxCgJrGbTCR,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,56L,No,,,,,,,,,,,,,
2025-05-10 12:06:57,2025-05-10 12:07:17,IP Address,217.105.28.28,100,20,True,2025-05-10 12:07:17,R_2fv17TdIh2GH8CA,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,57L,No,,,,,,,,,,,,,
2025-05-10 12:07:18,2025-05-10 12:07:38,IP Address,217.105.28.28,100,19,True,2025-05-10 12:07:38,R_8xV3cQvYhqmCOUn,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,58L,No,,,,,,,,,,,,,
2025-05-10 12:07:39,2025-05-10 12:08:00,IP Address,217.105.28.28,100,20,True,2025-05-10 12:08:00,R_82WLIvgf6MZcM6R,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,59L,No,,,,,,,,,,,,,
2025-05-10 12:08:01,2025-05-10 12:09:35,IP Address,217.105.28.28,100,93,True,2025-05-10 12:09:35,R_2guRT8ByCGcPqhA,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,60L,Yes,First,Yes,Negatively,No,,Yes,"Media (e.g., Fake News)",,,No,No,Yes,
2025-05-10 12:09:37,2025-05-10 12:09:59,IP Address,217.105.28.28,100,22,True,2025-05-10 12:10:00,R_2n3g9iR1HkRnde1,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,61L,No,,,,,,,,,,,,,
2025-05-10 12:10:00,2025-05-10 12:11:49,IP Address,217.105.28.28,100,108,True,2025-05-10 12:11:50,R_8i9ganTA87RGL78,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,62L,Yes,First,Yes,Negatively,Yes,Hillary Clinton,,,,,No,No,Yes,
2025-05-10 12:11:51,2025-05-10 12:12:27,IP Address,217.105.28.28,100,36,True,2025-05-10 12:12:28,R_2irgpW1QNKjCUuR,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,63L,No,,,,,,,,,,,,,
2025-05-10 12:12:29,2025-05-10 12:13:23,IP Address,217.105.28.28,100,53,True,2025-05-10 12:13:23,R_2kMQ38tOgRP3lNm,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,64L,Yes,First,Yes,Positively,Yes,Donald Trump,,,,,No,No,No,Yes
2025-05-10 12:13:24,2025-05-10 12:14:41,IP Address,217.105.28.28,100,76,True,2025-05-10 12:14:41,R_2rIlo7tybf4Gh5j,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,65L,Yes,First,Yes,Positively,No,,Yes,The Trump-Administration,,,No,No,Yes,
2025-05-10 12:14:42,2025-05-10 12:15:00,IP Address,217.105.28.28,100,17,True,2025-05-10 12:15:00,R_82t8t7nkTu6WFVg,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,66L,No,,,,,,,,,,,,,
2025-05-10 12:15:01,2025-05-10 12:16:10,IP Address,217.105.28.28,100,68,True,2025-05-10 12:16:10,R_2qfodzzl4tHkyJU,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,67L,Yes,First,Yes,Positively,No,,Yes,The Trump-Administration,,,No,No,Yes,
2025-05-10 12:16:11,2025-05-10 12:16:31,IP Address,217.105.28.28,100,19,True,2025-05-10 12:16:31,R_8Lu3BN1FXmGTIVb,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,68L,No,,,,,,,,,,,,,
2025-05-10 12:16:32,2025-05-10 12:17:10,IP Address,217.105.28.28,100,38,True,2025-05-10 12:17:11,R_8y8ZMt1J0rVnbMB,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,69L,No,,,,,,,,,,,,,
2025-05-10 12:17:12,2025-05-10 12:17:37,IP Address,217.105.28.28,100,25,True,2025-05-10 12:17:38,R_85GcJPiFIXjdtML,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,70L,No,,,,,,,,,,,,,
2025-05-10 12:17:39,2025-05-10 12:18:14,IP Address,217.105.28.28,100,35,True,2025-05-10 12:18:14,R_8fAG5cKlLCVxN1O,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,71L,No,,,,,,,,,,,,,
2025-05-10 12:18:15,2025-05-10 12:18:42,IP Address,217.105.28.28,100,27,True,2025-05-10 12:18:43,R_2f14gjw6LEfZn5T,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,72L,No,,,,,,,,,,,,,
2025-05-10 12:18:45,2025-05-10 12:20:57,IP Address,217.105.28.28,100,132,True,2025-05-10 12:20:57,R_8jDee4wEQw16Ybn,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,73L,No,,,,,,,,,,,,,
2025-05-10 12:20:58,2025-05-10 12:21:21,IP Address,217.105.28.28,100,23,True,2025-05-10 12:21:21,R_2LxwFqrTgHxrPih,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,74L,No,,,,,,,,,,,,,
2025-05-10 12:21:22,2025-05-10 12:22:54,IP Address,217.105.28.28,100,92,True,2025-05-10 12:22:54,R_2EzPdC1QRv6Y0Vi,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,75L,Yes,First,Yes,Negatively,Yes,Barack Obama,,,,,Yes,,,
2025-05-10 12:22:55,2025-05-10 12:23:16,IP Address,217.105.28.28,100,20,True,2025-05-10 12:23:16,R_8C3n9WB2aZQbv2x,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,76L,No,,,,,,,,,,,,,
2025-05-10 12:23:17,2025-05-10 12:24:19,IP Address,217.105.28.28,100,62,True,2025-05-10 12:24:21,R_2hnxVCbCRdg2mUp,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,77L,No,,,,,,,,,,,,,
2025-05-10 12:24:20,2025-05-10 12:24:33,IP Address,217.105.28.28,100,12,True,2025-05-10 12:24:33,R_82ms3SquvVsxT8M,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,78L,No,,,,,,,,,,,,,
2025-05-10 12:24:35,2025-05-10 12:25:16,IP Address,217.105.28.28,100,40,True,2025-05-10 12:25:16,R_89Tb2b4n9dpTkpX,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,79L,No,,,,,,,,,,,,,
2025-05-10 12:25:17,2025-05-10 12:25:34,IP Address,217.105.28.28,100,16,True,2025-05-10 12:25:34,R_8ssn17tSkbnkbRs,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,80L,No,,,,,,,,,,,,,
2025-05-10 12:25:34,2025-05-10 12:27:05,IP Address,217.105.28.28,100,90,True,2025-05-10 12:27:05,R_8117q0X2jZ1LYxi,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,81L,Yes,First,Yes,Negatively,No,,Yes,"Other Collectives (e.g. Other Countries, Other Political Groups, NGOs, Public Enterprises, International Governing Institutions)",,,No,No,Yes,
2025-05-10 12:27:06,2025-05-10 12:27:21,IP Address,217.105.28.28,100,14,True,2025-05-10 12:27:21,R_2U4L7Zep6LswUEx,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,82L,No,,,,,,,,,,,,,
2025-05-10 12:27:22,2025-05-10 12:27:40,IP Address,217.105.28.28,100,18,True,2025-05-10 12:27:40,R_2rf61aMK8LG0AAr,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,83L,No,,,,,,,,,,,,,
2025-05-10 12:27:41,2025-05-10 12:27:56,IP Address,217.105.28.28,100,14,True,2025-05-10 12:27:56,R_8PzERQvW6xr2jVh,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,84L,No,,,,,,,,,,,,,
2025-05-10 12:27:57,2025-05-10 12:28:13,IP Address,217.105.28.28,100,15,True,2025-05-10 12:28:13,R_8vZOCAfi3mDaqNH,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,85L,No,,,,,,,,,,,,,
2025-05-10 12:28:14,2025-05-10 12:28:56,IP Address,217.105.28.28,100,42,True,2025-05-10 12:28:57,R_2aWvMRPOv4VdXLX,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,86L,No,,,,,,,,,,,,,
2025-05-10 12:28:59,2025-05-10 12:29:32,IP Address,217.105.28.28,100,33,True,2025-05-10 12:29:33,R_8yjzvRstHHTR7MJ,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,87L,No,,,,,,,,,,,,,
2025-05-10 12:29:34,2025-05-10 12:29:51,IP Address,217.105.28.28,100,17,True,2025-05-10 12:29:51,R_8R9T5mhH9nOXPyA,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,88L,No,,,,,,,,,,,,,
2025-05-10 12:29:52,2025-05-10 12:30:13,IP Address,217.105.28.28,100,20,True,2025-05-10 12:30:14,R_8dAnRdQlcCPXMXh,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,89L,No,,,,,,,,,,,,,
2025-05-10 12:30:15,2025-05-10 12:30:46,IP Address,217.105.28.28,100,31,True,2025-05-10 12:30:47,R_8wQCBWPoIix1ILE,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,90L,No,,,,,,,,,,,,,
2025-05-10 12:30:47,2025-05-10 12:31:00,IP Address,217.105.28.28,100,12,True,2025-05-10 12:31:00,R_8eMyYbxWktmv7Ql,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,91L,No,,,,,,,,,,,,,
2025-05-10 12:31:01,2025-05-10 12:31:30,IP Address,217.105.28.28,100,29,True,2025-05-10 12:31:30,R_273vUhZgjPDct2S,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,92L,No,,,,,,,,,,,,,
2025-05-10 12:31:31,2025-05-10 12:31:55,IP Address,217.105.28.28,100,24,True,2025-05-10 12:31:56,R_82DFnXSHOHmnuKu,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,93L,No,,,,,,,,,,,,,
2025-05-10 12:31:58,2025-05-10 12:33:07,IP Address,217.105.28.28,100,69,True,2025-05-10 12:33:07,R_22Yfobg1X9jn0bP,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,94L,Yes,First,Yes,Negatively,No,,Yes,Progressive: Democrats/Liberals/Left-wing ideologists,,,No,No,Yes,
2025-05-10 12:33:08,2025-05-10 12:33:24,IP Address,217.105.28.28,100,16,True,2025-05-10 12:33:25,R_8NEYF58HSqakwA2,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,95L,No,,,,,,,,,,,,,
2025-05-10 12:33:27,2025-05-10 12:33:48,IP Address,217.105.28.28,100,20,True,2025-05-10 12:33:49,R_2yikfZ0vHZuuv29,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,96L,No,,,,,,,,,,,,,
2025-05-10 12:33:49,2025-05-10 12:34:12,IP Address,217.105.28.28,100,22,True,2025-05-10 12:34:12,R_8RXcKcPTZRhEQo1,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,97L,No,,,,,,,,,,,,,
2025-05-10 12:34:13,2025-05-10 12:35:02,IP Address,217.105.28.28,100,49,True,2025-05-10 12:35:02,R_8R3sQKwN60O5kXl,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,98L,No,,,,,,,,,,,,,
2025-05-10 12:35:04,2025-05-10 12:35:25,IP Address,217.105.28.28,100,21,True,2025-05-10 12:35:25,R_82PWgDuw78gN9Op,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,99L,No,,,,,,,,,,,,,
2025-05-10 12:35:26,2025-05-10 12:36:47,IP Address,217.105.28.28,100,80,True,2025-05-10 12:36:47,R_2UVHSRT54FpAECZ,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,100L,Yes,First,Yes,Positively,Yes,Hillary Clinton,,,,,No,No,Yes,
2025-05-10 12:36:49,2025-05-10 12:37:42,IP Address,217.105.28.28,100,52,True,2025-05-10 12:37:42,R_8plgFlSg9qjMCAH,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,100L,Yes,Second,Yes,Positively,Yes,Other Individuals,,,,,No,No,Yes,
2025-05-10 12:37:43,2025-05-10 12:38:01,IP Address,217.105.28.28,100,18,True,2025-05-10 12:38:01,R_2wjd1jR3dQXCNIo,,,,,52.3975,4.9278,anonymous,EN,Luke Fischer,101L,No,,,,,,,,,,,,,
2025-05-10 15:05:22,2025-05-10 15:11:11,IP Address,80.114.165.142,100,348,True,2025-05-10 15:11:11,R_2LzcC9GCBN04v3T,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,24M,No,,,,,,,,,,,,,
2025-05-10 15:11:24,2025-05-10 15:11:31,IP Address,80.114.165.142,100,7,True,2025-05-10 15:11:31,R_8Crg9UXOD2LicRZ,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,47M,No,,,,,,,,,,,,,
2025-05-10 15:11:37,2025-05-10 15:12:49,IP Address,80.114.165.142,100,72,True,2025-05-10 15:12:49,R_8Svr5PP3Jysi7ib,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,49M,Yes,First,Yes,Negatively,No,,Yes,"Media (e.g., Fake News)",,,No,No,Yes,
2025-05-10 15:13:05,2025-05-10 15:13:12,IP Address,80.114.165.142,100,6,True,2025-05-10 15:13:12,R_2T8rvU17K3Qbdsd,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,50M,No,,,,,,,,,,,,,
2025-05-10 15:13:45,2025-05-10 15:13:54,IP Address,80.114.165.142,100,9,True,2025-05-10 15:13:55,R_2fcLrikTB9PwvnI,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,83M,No,,,,,,,,,,,,,
2025-05-10 15:14:17,2025-05-10 15:15:01,IP Address,80.114.165.142,100,43,True,2025-05-10 15:15:01,R_8jD4Lgo7LpT1fEt,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,98M,Yes,First,Yes,Positively,No,,Yes,The Trump-Administration,,,No,No,Yes,
2025-05-10 15:15:07,2025-05-10 15:15:28,IP Address,80.114.165.142,100,20,True,2025-05-10 15:15:29,R_28aFs9pSy5w8l6F,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,104M,No,,,,,,,,,,,,,
2025-05-10 15:16:20,2025-05-10 15:16:28,IP Address,80.114.165.142,100,7,True,2025-05-10 15:16:28,R_2kZHFoSK84IFfeM,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,112M,No,,,,,,,,,,,,,
2025-05-10 15:16:34,2025-05-10 15:17:19,IP Address,80.114.165.142,100,44,True,2025-05-10 15:17:19,R_2h6d9x6p4tJfWDK,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,120M,No,,,,,,,,,,,,,
2025-05-10 15:18:03,2025-05-10 15:18:26,IP Address,80.114.165.142,100,22,True,2025-05-10 15:18:26,R_22FR0NMRPmRAlWQ,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,134M,Yes,First,Yes,Positively,No,,Yes,The Trump-Administration,,,No,No,Yes,
2025-05-10 15:19:05,2025-05-10 15:19:31,IP Address,80.114.165.142,100,25,True,2025-05-10 15:19:31,R_8oDzPlhRI0fKOIx,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,141M,Yes,First,Yes,Positively,Yes,Other Individuals,,,,,No,No,No,No
2025-05-10 15:19:38,2025-05-10 15:19:48,IP Address,80.114.165.142,100,10,True,2025-05-10 15:19:48,R_8nrw4zWbbdnCTmQ,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,147M,No,,,,,,,,,,,,,
2025-05-10 15:20:02,2025-05-10 15:20:09,IP Address,80.114.165.142,100,6,True,2025-05-10 15:20:09,R_2tHwWh9dbRyoJ3z,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,150M,No,,,,,,,,,,,,,
2025-05-10 15:20:17,2025-05-10 15:20:23,IP Address,80.114.165.142,100,6,True,2025-05-10 15:20:24,R_81hYdjaSY6ZryTx,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,152M,No,,,,,,,,,,,,,
2025-05-10 15:20:30,2025-05-10 15:20:46,IP Address,80.114.165.142,100,15,True,2025-05-10 15:20:46,R_2JsXluyXToOSjKj,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,154M,No,,,,,,,,,,,,,
2025-05-10 15:20:57,2025-05-10 15:21:02,IP Address,80.114.165.142,100,5,True,2025-05-10 15:21:03,R_8LjIo6jtTA8BwoC,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,155M,No,,,,,,,,,,,,,
2025-05-10 15:21:08,2025-05-10 15:21:16,IP Address,80.114.165.142,100,7,True,2025-05-10 15:21:16,R_8ay5tHe0aUqabnp,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,156M,No,,,,,,,,,,,,,
2025-05-10 15:21:21,2025-05-10 15:22:58,IP Address,80.114.165.142,100,96,True,2025-05-10 15:22:58,R_8mgcE6XOHihpghC,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,157M,Yes,First,Yes,Positively,Yes,Other Individual Republican Politicians,,,,,No,Yes,,
2025-05-10 15:23:10,2025-05-10 15:24:20,IP Address,80.114.165.142,100,70,True,2025-05-10 15:24:21,R_8Qm82M6qGoMVnmd,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,159M,No,,,,,,,,,,,,,
2025-05-10 15:24:24,2025-05-10 15:24:30,IP Address,80.114.165.142,100,5,True,2025-05-10 15:24:31,R_8kyWluSOT76rNum,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,160M,No,,,,,,,,,,,,,
2025-05-10 15:24:36,2025-05-10 15:24:56,IP Address,80.114.165.142,100,20,True,2025-05-10 15:24:57,R_8GckaIGGVGpkT7j,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,161M,No,,,,,,,,,,,,,
2025-05-10 15:25:02,2025-05-10 15:25:07,IP Address,80.114.165.142,100,5,True,2025-05-10 15:25:08,R_2uJjKLgQoTUMqJz,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,162M,No,,,,,,,,,,,,,
2025-05-10 15:25:16,2025-05-10 15:26:46,IP Address,80.114.165.142,100,89,True,2025-05-10 15:26:46,R_2NIDPTfiJUVjgnx,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,163M,Yes,First,Yes,Negatively,Yes,Hillary Clinton,,,,,No,No,No,Yes
2025-05-10 15:26:48,2025-05-10 15:27:33,IP Address,80.114.165.142,100,45,True,2025-05-10 15:27:34,R_8P5InN69VLyidNf,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,163M,Yes,Second,Yes,Negatively,Yes,Hillary Clinton,,,,,No,No,No,Yes
2025-05-10 15:27:48,2025-05-10 15:27:56,IP Address,80.114.165.142,100,7,True,2025-05-10 15:27:56,R_2cdNdVmEci0kBXJ,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,165M,No,,,,,,,,,,,,,
2025-05-10 15:28:02,2025-05-10 15:28:09,IP Address,80.114.165.142,100,6,True,2025-05-10 15:28:09,R_8rOcIDgrH0TkapD,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,166M,No,,,,,,,,,,,,,
2025-05-10 15:28:10,2025-05-10 15:28:33,IP Address,80.114.165.142,100,22,True,2025-05-10 15:28:33,R_8hhz5AuesOApwo9,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,167M,No,,,,,,,,,,,,,
2025-05-10 15:29:13,2025-05-10 15:29:20,IP Address,80.114.165.142,100,6,True,2025-05-10 15:29:20,R_8K9dxARusOXmgZa,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,168M,No,,,,,,,,,,,,,
2025-05-10 15:29:25,2025-05-10 15:29:31,IP Address,80.114.165.142,100,6,True,2025-05-10 15:29:32,R_8kSe7xo2DtBKzJv,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,169M,No,,,,,,,,,,,,,
2025-05-10 15:29:36,2025-05-10 15:30:00,IP Address,80.114.165.142,100,23,True,2025-05-10 15:30:00,R_86gQwaPznI0kQyw,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,172M,No,,,,,,,,,,,,,
2025-05-10 15:30:24,2025-05-10 15:30:57,IP Address,80.114.165.142,100,33,True,2025-05-10 15:30:57,R_8pDn4pvPtyL0XfR,,,,,52.3474,4.9284,anonymous,EN,Mare Soetermeer,173M,Yes,First,Yes,Negatively,No,,Yes,"Other Collectives (e.g. Other Countries, Other Political Groups, NGOs, Public Enterprises, International Governing Institutions)",,,No,No,No,Yes
